day,group,price
2024-09-11,low,14.99
2024-09-12,low,14.99
2024-09-14,low,14.99
2024-09-17,low,14.99
2024-09-25,low,14.99
2024-10-02,low,14.99
2024-10-05,low,14.99
2024-10-07,low,14.99
2024-10-08,low,14.99
2024-10-09,low,14.99
2024-10-10,low,14.99
2024-10-15,low,14.99
2024-10-16,low,14.99
2024-10-22,low,14.99
2024-10-23,low,14.99
2024-10-24,low,14.99
2024-09-10,low,15.43
2024-09-24,low,16.26
2024-10-01,low,16.39
2024-10-21,low,16.39
2024-09-18,low,16.92
2024-10-14,low,17.79
2024-10-20,low,17.79
2024-10-03,low,19.19
2024-10-12,low,19.19
2024-10-19,low,21.49
2024-11-04,low,21.99
2024-11-05,low,21.99
2024-11-06,low,21.99
2024-11-08,low,21.99
2024-11-09,low,21.99
2024-11-11,low,21.99
2024-11-12,low,21.99
2024-11-13,low,21.99
2024-11-14,low,21.99
2024-11-18,low,21.99
2024-11-19,low,21.99
2024-11-20,low,21.99
2024-11-21,low,21.99
2024-11-23,low,21.99
2024-11-25,low,21.99
2024-11-26,low,21.99
2024-11-29,low,21.99
2024-11-30,low,21.99
2024-12-02,low,21.99
2024-12-03,low,21.99
2024-12-04,low,21.99
2024-12-05,low,21.99
2024-12-07,low,21.99
2024-12-09,low,21.99
2024-12-10,low,21.99
2024-12-11,low,21.99
2024-12-12,low,21.99
2024-12-14,low,21.99
2024-10-28,low,22.99
2024-11-07,low,24.09
2024-11-16,low,24.09
2024-11-27,low,24.2
2025-03-19,low,25.2
2025-03-08,low,25.26
2024-11-28,low,25.93
2024-12-17,low,25.96
2024-10-30,low,25.98
2024-10-31,low,28.0
2024-11-02,low,28.0
2024-12-19,low,28.0
2025-01-07,low,28.0
2025-01-18,low,28.0
2025-01-21,low,28.0
2025-02-05,low,28.0
2025-02-11,low,28.0
2025-02-18,low,28.0
2025-02-19,low,28.0
2025-02-20,low,28.0
2024-12-18,low,28.14
2025-01-08,low,28.14
2025-01-22,low,28.14
2025-01-28,low,28.14
2025-01-29,low,28.14
2025-01-30,low,28.14
2025-02-13,low,28.14
2025-02-25,low,28.14
2025-03-06,low,28.14
2025-03-11,low,28.14
2025-03-12,low,28.14
2024-09-15,low,28.99
2024-11-15,medium,33.33
2024-12-01,medium,33.33
2024-09-16,medium,33.65
2025-02-17,medium,33.78
2025-02-21,medium,34.23
2024-10-17,medium,35.0
2025-04-01,medium,35.58
2024-11-24,medium,35.64
2025-04-09,medium,35.64
2024-10-29,medium,35.84
2024-11-01,medium,35.84
2024-11-10,medium,35.84
2024-11-17,medium,35.84
2024-11-22,medium,35.84
2024-12-06,medium,35.84
2024-12-08,medium,35.84
2024-12-13,medium,35.84
2024-12-15,medium,35.84
2024-12-16,medium,35.84
2025-01-10,medium,35.84
2025-01-17,medium,35.84
2025-01-24,medium,35.84
2025-01-26,medium,35.84
2025-01-27,medium,35.84
2025-02-10,medium,35.84
2025-02-28,medium,35.84
2025-03-07,medium,35.84
2025-03-09,medium,35.84
2025-03-10,medium,35.84
2025-03-21,medium,35.84
2025-03-28,medium,35.84
2024-09-22,medium,35.99
2025-02-03,medium,36.0
2025-01-03,medium,39.57
2025-03-01,medium,40.0
2025-01-01,medium,40.1
2025-01-06,medium,40.28
2024-09-21,medium,41.68
2024-11-03,medium,42.19
2024-12-20,medium,42.19
2024-12-21,medium,42.19
2024-12-22,medium,42.19
2024-12-23,medium,42.19
2024-12-24,medium,42.19
2024-12-30,medium,42.19
2024-12-31,medium,42.19
2025-01-04,medium,42.19
2025-01-05,medium,42.19
2025-01-31,medium,42.19
2025-02-01,medium,42.19
2025-01-02,medium,42.71
2024-10-13,medium,43.23
2024-10-06,medium,44.08
2024-09-19,medium,44.34
2024-10-04,medium,45.94
2024-09-23,medium,46.99
2024-09-28,medium,47.54
2024-10-27,medium,47.99
2025-02-14,medium,48.19
2025-02-15,medium,48.19
2024-09-26,medium,48.54
2024-09-29,medium,48.54
2025-04-07,medium,48.75
2024-09-30,medium,49.87
2024-10-11,medium,50.27
2024-10-18,medium,51.41
2025-01-14,medium,51.99
2025-01-15,medium,51.99
2025-02-26,medium,51.99
2025-03-02,medium,51.99
2025-03-03,medium,51.99
2025-03-04,medium,51.99
2025-03-05,medium,51.99
2025-03-20,medium,51.99
2025-03-22,medium,51.99
2025-03-24,medium,51.99
2025-03-25,medium,51.99
2025-03-26,medium,51.99
2025-03-27,medium,51.99
2025-03-30,medium,51.99
2025-03-15,medium,56.77
2025-03-23,medium,56.99
2025-03-13,medium,57.44
2024-12-28,medium,58.74
2025-03-14,medium,58.74
2025-04-16,medium,61.14
2025-04-17,medium,61.14
2025-04-21,medium,61.14
2025-04-22,medium,61.14
2025-04-28,medium,61.14
2025-04-29,medium,61.14
2025-05-06,medium,61.14
2025-05-12,medium,61.14
2025-05-13,medium,61.14
2025-05-16,medium,61.14
2025-05-18,medium,61.14
2025-05-20,medium,61.14
2025-05-21,medium,61.14
2025-05-27,medium,61.14
2025-05-28,medium,61.14
2025-06-01,medium,61.14
2025-06-02,medium,61.14
2025-06-03,medium,61.14
2025-06-04,medium,61.14
2025-06-05,medium,61.14
2025-06-17,medium,61.14
2025-06-18,medium,61.14
2025-06-20,medium,61.14
2025-06-23,medium,61.14
2025-06-24,medium,61.14
2025-06-26,medium,61.14
2025-06-28,medium,61.14
2025-06-29,medium,61.14
2025-06-30,medium,61.14
2025-07-01,medium,61.14
2025-07-03,medium,61.14
2025-07-05,medium,61.14
2025-07-06,medium,61.14
2025-07-07,medium,61.14
2025-07-09,medium,61.14
2025-07-15,medium,61.14
2025-07-16,medium,61.14
2025-07-17,medium,61.14
2025-07-18,medium,61.14
2025-07-21,medium,61.14
2025-08-06,medium,61.14
2025-08-09,medium,61.14
2025-05-10,medium,62.11
2025-05-23,medium,62.14
2025-05-11,medium,62.18
2024-09-13,medium,62.24
2024-09-08,medium,62.39
2024-10-26,medium,62.44
2024-09-20,medium,62.83
2025-01-09,high,63.99
2025-01-11,high,63.99
2025-01-12,high,63.99
2025-01-13,high,63.99
2025-01-16,high,63.99
2025-01-19,high,63.99
2025-01-20,high,63.99
2025-01-23,high,63.99
2025-01-25,high,63.99
2025-02-02,high,63.99
2025-02-04,high,63.99
2025-02-06,high,63.99
2025-02-12,high,63.99
2025-02-22,high,63.99
2025-02-23,high,63.99
2025-02-24,high,63.99
2025-02-27,high,63.99
2025-03-29,high,63.99
2025-03-31,high,63.99
