day,group,price
2024-10-22,low,12.53
2025-01-13,low,14.99
2025-01-14,low,14.99
2025-01-21,low,14.99
2024-11-20,low,19.98
2024-12-02,low,19.98
2024-12-03,low,19.98
2025-01-06,low,19.98
2025-01-11,low,19.98
2025-01-16,low,19.98
2025-01-18,low,19.98
2025-01-20,low,19.98
2025-01-22,low,19.98
2025-01-28,low,19.98
2025-01-29,low,19.98
2025-02-11,low,19.98
2025-02-24,low,19.98
2025-02-25,low,19.98
2025-03-04,low,19.98
2025-03-05,low,19.98
2024-10-08,low,24.99
2024-10-15,low,24.99
2024-10-16,low,28.49
2024-09-17,low,30.0
2024-10-12,low,30.0
2024-09-27,low,30.99
2024-10-18,low,30.99
2024-11-07,low,30.99
2024-11-14,low,30.99
2024-11-19,low,30.99
2024-11-23,low,30.99
2024-11-26,low,30.99
2024-11-29,low,30.99
2024-12-04,low,30.99
2024-12-05,low,30.99
2024-12-12,low,30.99
2025-01-10,low,30.99
2025-01-27,low,30.99
2025-02-04,low,30.99
2025-02-07,low,30.99
2025-02-09,low,30.99
2025-02-10,low,30.99
2025-02-18,low,30.99
2025-02-23,low,30.99
2025-03-11,low,30.99
2024-07-23,low,32.23
2024-08-27,low,35.58
2024-08-06,low,36.53
2024-10-01,low,38.34
2024-10-09,low,38.99
2024-07-24,low,39.34
2024-10-11,low,39.75
2024-08-28,low,40.19
2024-09-13,low,40.85
2024-10-10,low,41.09
2024-07-30,low,41.86
2024-11-12,low,42.0
2024-11-13,low,42.0
2024-12-09,low,42.0
2024-12-11,low,42.0
2024-10-07,low,42.23
2024-10-17,low,42.23
2025-01-17,low,42.4
2024-08-14,low,42.59
2024-11-11,low,42.66
2024-08-11,medium,42.99
2024-08-13,medium,42.99
2024-09-06,medium,42.99
2024-09-20,medium,42.99
2024-09-21,medium,42.99
2024-09-22,medium,42.99
2024-09-29,medium,42.99
2024-10-04,medium,42.99
2024-10-06,medium,42.99
2024-11-06,medium,42.99
2024-11-09,medium,42.99
2024-11-21,medium,42.99
2024-11-25,medium,42.99
2024-11-27,medium,42.99
2024-11-30,medium,42.99
2024-12-10,medium,42.99
2025-01-05,medium,42.99
2025-01-08,medium,42.99
2025-01-09,medium,42.99
2025-01-19,medium,42.99
2025-01-23,medium,42.99
2025-01-26,medium,42.99
2025-02-12,medium,42.99
2025-03-03,medium,42.99
2025-03-23,medium,42.99
2025-03-29,medium,42.99
2024-08-16,medium,43.37
2024-10-19,medium,43.99
2024-08-12,medium,44.41
2024-10-14,medium,44.64
2024-10-31,medium,44.94
2024-11-04,medium,44.94
2024-11-05,medium,44.94
2024-11-18,medium,44.94
2024-11-28,medium,44.94
2024-09-05,medium,46.59
2024-08-24,medium,46.93
2024-07-29,medium,47.09
2024-10-02,medium,47.55
2024-07-17,medium,47.79
2024-08-20,medium,47.99
2024-08-21,medium,47.99
2024-10-20,medium,47.99
2024-11-08,medium,47.99
2024-11-10,medium,47.99
2024-11-15,medium,47.99
2024-11-16,medium,47.99
2024-11-22,medium,47.99
2024-11-24,medium,47.99
2025-03-01,medium,47.99
2025-03-06,medium,47.99
2025-03-07,medium,47.99
2025-03-10,medium,47.99
2025-03-24,medium,47.99
2024-07-16,medium,48.06
2024-10-05,medium,48.65
2024-09-25,medium,49.0
2024-07-12,medium,49.05
2025-02-21,medium,49.43
2024-08-10,medium,49.88
2024-09-14,medium,49.99
2024-10-13,medium,49.99
2024-11-02,medium,49.99
2024-12-15,medium,49.99
2024-12-16,medium,49.99
2025-01-30,medium,49.99
2025-02-01,medium,49.99
2025-02-06,medium,49.99
2025-02-19,medium,49.99
2025-03-09,medium,49.99
2025-03-25,medium,49.99
2025-03-27,medium,49.99
2024-07-09,medium,50.4
2024-07-26,medium,50.4
2024-07-31,medium,51.03
2024-07-25,medium,52.11
2024-07-11,medium,52.99
2024-07-28,medium,52.99
2024-09-23,medium,52.99
2024-09-28,medium,52.99
2024-09-30,medium,52.99
2024-11-17,medium,52.99
2025-03-08,medium,52.99
2025-03-20,medium,52.99
2025-03-21,medium,52.99
2024-09-02,medium,53.0
2024-07-02,medium,53.01
2024-09-24,medium,53.39
2024-10-21,medium,53.64
2024-08-25,medium,53.85
2024-08-04,medium,54.04
2024-08-26,medium,54.04
2024-10-23,medium,54.29
2024-07-15,medium,54.72
2025-02-27,medium,54.79
2024-12-17,medium,55.0
2024-08-19,medium,55.23
2024-07-19,medium,55.99
2024-08-07,medium,55.99
2024-09-03,medium,55.99
2024-07-08,medium,56.19
2024-08-23,medium,57.12
2024-08-02,medium,57.86
2024-11-03,medium,57.94
2024-07-10,medium,57.98
2024-07-18,medium,58.79
2024-09-04,medium,58.98
2024-10-03,medium,59.05
2024-07-27,medium,59.4
2024-06-18,medium,59.61
2024-08-15,medium,59.64
2024-09-09,medium,59.64
2024-09-10,medium,59.64
2024-09-11,medium,59.64
2024-09-19,medium,59.64
2024-08-01,medium,59.99
2024-08-29,medium,59.99
2024-09-16,medium,59.99
2024-12-01,medium,59.99
2024-12-06,medium,59.99
2024-12-13,medium,59.99
2024-12-14,medium,59.99
2025-01-12,medium,59.99
2025-01-24,medium,59.99
2025-01-31,medium,59.99
2025-02-02,medium,59.99
2025-02-03,medium,59.99
2025-02-22,medium,59.99
2025-04-02,medium,59.99
2025-04-03,medium,59.99
2025-04-04,medium,59.99
2025-04-05,medium,59.99
