day,group,price
2024-10-09,low,15.0
2024-10-20,low,15.0
2024-10-16,low,16.0
2024-10-01,low,20.0
2024-10-02,low,20.0
2024-10-08,low,20.0
2024-10-15,low,20.0
2024-10-19,low,20.0
2024-10-22,low,20.0
2024-10-23,low,20.0
2024-10-21,low,20.99
2024-10-14,low,24.09
2024-11-05,low,24.99
2024-11-06,low,24.99
2024-11-09,low,24.99
2024-11-10,low,24.99
2024-11-12,low,24.99
2024-11-13,low,24.99
2024-11-16,low,24.99
2024-11-17,low,24.99
2024-11-18,low,24.99
2024-11-19,low,24.99
2024-11-20,low,24.99
2024-11-23,low,24.99
2024-11-24,low,24.99
2024-11-25,low,24.99
2024-11-26,low,24.99
2024-11-30,low,24.99
2024-12-03,low,24.99
2024-12-07,low,24.99
2024-12-09,low,24.99
2024-12-10,low,24.99
2024-09-17,low,29.56
2024-11-04,low,32.86
2025-01-07,low,34.0
2025-03-19,low,34.0
2024-10-30,low,34.24
2024-11-07,low,34.24
2024-11-14,low,34.24
2024-12-04,low,34.24
2025-01-09,low,34.24
2025-01-11,low,34.24
2025-01-14,low,34.24
2025-01-18,low,34.24
2025-01-21,low,34.24
2025-01-25,low,34.24
2025-01-28,low,34.24
2025-01-29,low,34.24
2025-02-12,low,34.24
2025-02-22,low,34.24
2025-02-26,low,34.24
2025-02-27,low,34.24
2025-03-12,low,34.24
2025-03-29,low,34.24
2024-11-11,low,34.52
2024-10-03,low,35.14
2024-09-24,low,37.99
2024-10-29,low,37.99
2024-11-21,low,38.44
2024-11-27,low,38.44
2024-10-17,low,38.76
2024-10-13,low,39.65
2024-12-08,low,40.67
2024-09-30,low,40.83
2024-12-14,low,41.55
2024-11-08,low,41.67
2024-10-11,low,41.99
2024-10-06,low,42.42
2024-10-27,low,42.99
2024-12-06,low,43.0
2024-11-15,low,43.71
2024-12-11,low,43.73
2024-12-02,medium,44.04
2024-12-16,medium,44.04
2024-12-18,medium,44.04
2025-01-10,medium,44.04
2025-01-12,medium,44.04
2025-01-17,medium,44.04
2025-01-20,medium,44.04
2025-01-24,medium,44.04
2025-01-26,medium,44.04
2025-01-27,medium,44.04
2025-02-07,medium,44.04
2025-02-09,medium,44.04
2025-03-02,medium,44.04
2025-03-21,medium,44.04
2025-03-28,medium,44.04
2024-10-24,medium,44.05
2024-09-10,medium,44.07
2025-04-01,medium,44.14
2025-04-02,medium,44.14
2025-04-03,medium,44.14
2025-04-05,medium,44.14
2025-04-08,medium,44.14
2025-04-10,medium,44.14
2024-09-15,medium,44.75
2025-01-15,medium,44.99
2025-01-22,medium,44.99
2025-02-05,medium,44.99
2025-02-25,medium,44.99
2025-03-01,medium,44.99
2025-03-04,medium,44.99
2025-03-08,medium,44.99
2025-03-11,medium,44.99
2025-03-24,medium,44.99
2025-03-25,medium,44.99
2025-03-26,medium,44.99
2024-12-17,medium,45.0
2024-10-18,medium,45.07
2025-03-05,medium,45.85
2024-09-28,medium,45.99
2025-05-01,medium,46.61
2024-12-13,medium,46.96
2024-10-10,medium,47.74
2024-09-18,medium,47.99
2025-03-22,medium,48.43
2024-12-01,medium,48.54
2024-10-12,medium,48.99
2024-11-29,medium,49.73
2024-12-15,medium,49.78
2024-09-25,medium,49.99
2025-03-06,medium,49.99
2025-03-07,medium,49.99
2024-10-07,medium,50.54
2024-11-22,medium,50.96
2024-10-05,medium,50.99
2024-10-31,medium,52.44
2024-12-26,medium,52.44
2024-12-29,medium,52.44
2024-12-31,medium,52.44
2025-01-01,medium,52.44
2025-01-02,medium,52.44
2025-01-04,medium,52.44
2025-01-05,medium,52.44
2025-01-06,medium,52.44
2025-02-01,medium,52.44
2025-02-14,medium,52.44
2025-02-21,medium,52.44
2024-09-20,medium,53.1
2025-01-03,medium,54.0
2024-10-04,medium,55.15
2024-11-02,medium,55.99
2025-01-08,medium,55.99
2025-01-13,medium,55.99
2025-01-16,medium,55.99
2025-01-19,medium,55.99
2025-02-02,medium,55.99
2025-02-03,medium,55.99
2025-02-11,medium,55.99
2025-02-18,medium,55.99
2025-02-20,medium,55.99
2025-02-23,medium,55.99
2025-03-09,medium,55.99
2025-03-10,medium,55.99
2025-03-27,medium,55.99
2025-04-06,medium,55.99
2025-04-07,medium,55.99
2025-04-15,medium,55.99
2025-04-16,medium,55.99
2025-04-27,medium,55.99
2025-04-28,medium,55.99
2025-04-29,medium,55.99
