day,group,price
2024-10-20,low,21.99
2024-10-16,low,22.39
2024-11-03,low,35.97
2024-11-17,low,36.94
2024-11-24,low,37.0
2024-11-10,low,37.94
2024-11-13,low,37.94
2024-11-26,low,37.94
2024-12-03,low,37.94
2024-12-04,low,37.94
2024-12-10,low,37.94
2024-10-22,low,38.84
2024-11-20,low,41.44
2024-11-25,low,41.44
2024-11-27,low,41.44
2024-12-02,low,41.44
2024-12-09,low,41.44
2024-12-11,low,41.44
2025-03-19,low,41.44
2024-10-15,low,43.86
2024-11-22,low,44.25
2024-10-08,low,44.86
2024-10-10,low,44.86
2024-10-21,low,45.14
2024-11-19,low,46.34
2024-11-05,low,46.61
2024-11-12,low,47.0
2024-11-08,low,47.04
2025-02-07,low,47.04
2025-03-02,low,47.04
2025-03-07,low,47.04
2025-03-21,low,47.04
2024-11-18,low,47.7
2024-11-09,low,48.0
2024-11-11,low,48.83
2024-11-14,low,48.83
2024-11-23,low,49.0
2024-10-01,low,49.48
2024-10-02,low,49.49
2024-09-17,low,49.71
2024-09-30,low,49.84
2024-10-13,low,50.08
2024-09-29,low,50.09
2024-10-06,low,50.62
2024-11-16,low,50.9
2024-10-14,low,51.25
2024-10-17,low,51.25
2024-10-09,low,51.96
2024-09-21,low,52.11
2024-09-24,low,52.22
2024-09-25,low,52.23
2024-09-18,low,52.64
2024-09-20,low,52.69
2024-11-28,low,53.09
2024-10-19,low,53.69
2024-09-16,low,54.2
2024-09-14,low,54.36
2024-10-03,low,54.73
2024-11-15,low,54.73
2024-10-05,low,54.74
2024-11-21,low,55.43
2024-10-07,low,55.44
2024-11-30,low,55.62
2024-11-06,low,55.69
2024-10-04,low,55.77
2024-10-23,low,55.78
2024-09-10,low,55.85
2025-01-14,low,55.99
2025-01-15,low,55.99
2025-03-01,low,55.99
2025-03-05,low,55.99
2025-03-08,low,55.99
2025-03-10,low,55.99
2025-03-11,low,55.99
2025-03-22,low,55.99
2024-11-04,low,56.0
2024-09-23,medium,56.46
2024-11-07,medium,56.62
2025-01-29,medium,56.93
2024-09-28,medium,57.1
2024-09-19,medium,57.32
2024-10-12,medium,57.57
2024-09-13,medium,58.14
2025-01-22,medium,58.34
2025-02-26,medium,58.34
2024-10-11,medium,58.64
2024-12-06,medium,59.37
2024-12-07,medium,59.75
2025-02-05,medium,59.75
2024-10-28,medium,59.79
2024-10-24,medium,59.99
2024-12-01,medium,60.42
2024-09-11,medium,60.96
2025-01-07,medium,61.0
2025-03-06,medium,61.99
2025-03-25,medium,61.99
2025-01-08,medium,62.0
2024-11-02,medium,63.04
2024-12-05,medium,63.13
2024-09-27,medium,63.26
2024-12-13,medium,64.0
2025-01-05,medium,64.0
2024-09-09,medium,64.18
2024-11-01,medium,64.69
2024-12-08,medium,64.69
2025-01-01,medium,64.69
2025-01-03,medium,64.69
2025-02-16,medium,64.69
2025-02-19,medium,64.69
2025-03-14,medium,64.69
2024-10-29,medium,65.0
2024-10-30,medium,65.79
2025-01-21,medium,66.19
2025-02-25,medium,66.19
2024-10-18,medium,66.59
2025-04-08,medium,66.64
2025-01-11,medium,68.0
2024-09-12,medium,68.59
2025-02-23,medium,68.6
2025-01-09,medium,68.98
2025-01-12,medium,68.98
2025-01-16,medium,68.98
2025-01-18,medium,68.98
2025-01-20,medium,68.98
2025-01-23,medium,68.98
2025-01-25,medium,68.98
2025-01-30,medium,68.98
2025-02-01,medium,68.98
2025-02-02,medium,68.98
2025-02-03,medium,68.98
2025-02-06,medium,68.98
2025-02-18,medium,68.98
2025-02-22,medium,68.98
2025-02-24,medium,68.98
2025-02-27,medium,68.98
2025-03-12,medium,68.98
2025-03-13,medium,68.98
2025-03-26,medium,68.98
2025-04-06,medium,68.98
2025-04-07,medium,68.98
2025-04-10,medium,68.98
2025-04-23,medium,68.98
2025-05-06,medium,68.98
2025-05-07,medium,68.98
2025-05-08,medium,68.98
2025-05-14,medium,68.98
2025-06-07,medium,68.98
2025-08-20,medium,68.98
2025-08-21,medium,68.98
2025-08-27,medium,68.98
2025-09-01,medium,68.98
2024-11-29,medium,69.47
2024-12-17,medium,69.96
2024-10-27,medium,70.0
2025-03-20,medium,70.23
2024-09-26,medium,71.44
2024-12-15,medium,71.92
2025-02-11,medium,72.12
2024-12-12,medium,72.39
2024-09-15,medium,72.61
2024-09-22,medium,72.93
2025-01-10,medium,74.59
2025-01-17,medium,74.59
2025-01-31,medium,74.59
2024-10-31,medium,74.69
2024-10-25,medium,75.0
2024-12-16,medium,75.09
2024-12-31,medium,75.09
2024-12-18,medium,77.12
2024-12-24,medium,77.94
2024-12-29,medium,77.94
2025-03-30,medium,77.98
2025-04-03,medium,77.98
2025-04-05,medium,77.98
2025-04-20,medium,77.98
2025-04-24,medium,77.98
2025-04-26,medium,77.98
2025-05-05,medium,77.98
2025-05-11,medium,77.98
2025-05-12,medium,77.98
2025-05-15,medium,77.98
2025-05-20,medium,77.98
2025-05-21,medium,77.98
2025-06-04,medium,77.98
2025-06-11,medium,77.98
2025-06-18,medium,77.98
2025-08-19,medium,77.98
2025-08-25,medium,77.98
2025-08-28,medium,77.98
2025-08-30,medium,77.98
2025-04-15,medium,78.29
2025-06-10,medium,78.98
2025-02-12,medium,79.39
2025-02-20,medium,79.39
2025-04-04,medium,79.39
2025-06-01,medium,80.91
2025-04-22,medium,81.29
2025-06-17,medium,81.48
2024-12-14,medium,81.64
2025-06-02,medium,82.17
2024-09-07,medium,83.42
2025-04-27,medium,83.59
2025-05-04,medium,83.59
2025-05-18,medium,83.59
2024-10-26,medium,84.42
2025-04-21,medium,86.64
2025-05-09,medium,87.79
2025-02-09,medium,88.99
2025-02-10,medium,88.99
2025-04-01,medium,88.99
2025-04-17,medium,88.99
2025-04-19,medium,88.99
2025-04-30,medium,88.99
2025-05-10,medium,88.99
2025-05-22,medium,88.99
2025-05-24,medium,88.99
2025-05-26,medium,88.99
2025-05-28,medium,88.99
2025-06-05,medium,88.99
2025-06-14,medium,88.99
2025-06-19,medium,88.99
2025-06-20,medium,88.99
2025-06-21,medium,88.99
2025-06-23,medium,88.99
2025-07-10,medium,88.99
2025-07-21,medium,88.99
2025-07-28,medium,88.99
2025-08-08,medium,88.99
2025-08-22,medium,88.99
2025-08-31,medium,88.99
2024-12-19,high,91.73
2025-05-16,high,92.87
2025-02-13,high,95.19
2024-09-08,high,100.04
2025-01-04,high,100.99
2025-02-08,high,100.99
2025-02-21,high,100.99
2025-03-15,high,100.99
2025-03-17,high,100.99
2025-08-18,high,100.99
2025-06-26,high,101.64
2025-07-03,high,101.64
2025-07-05,high,101.64
2025-07-15,high,101.64
2025-07-17,high,101.64
2025-07-19,high,101.64
2025-07-22,high,101.64
2025-06-29,high,104.29
2025-05-31,high,105.12
2025-05-02,high,105.94
2024-12-30,high,106.0
2025-01-06,high,107.59
2025-07-20,high,107.59
2025-05-01,high,107.96
2025-07-08,high,109.0
2024-12-27,high,109.39
2025-03-18,high,109.59
2025-04-13,high,110.07
2025-04-14,high,110.07
2025-08-07,high,111.59
2024-12-26,high,111.9
2025-05-03,high,112.54
2025-07-29,high,112.54
2025-04-25,high,113.54
2025-01-02,high,114.99
2025-02-28,high,114.99
2025-03-28,high,114.99
2025-05-17,high,114.99
2025-06-13,high,114.99
2025-06-30,high,114.99
2025-07-07,high,114.99
2025-07-27,high,114.99
2025-08-03,high,114.99
2024-12-28,high,115.36
2025-08-16,high,115.99
2025-08-17,high,115.99
2025-07-06,high,118.29
2025-07-16,high,118.29
2024-12-23,high,119.0
2025-07-31,high,122.84
2024-12-22,high,123.0
