day,group,price
2024-09-24,low,24.99
2024-10-01,low,24.99
2024-10-02,low,24.99
2024-10-23,low,24.99
2024-10-16,low,27.19
2024-10-08,low,29.39
2024-10-15,low,31.1
2024-09-02,low,37.0
2024-10-09,low,38.63
2024-10-14,low,38.63
2024-10-22,low,41.12
2025-01-13,low,43.0
2024-09-18,low,44.07
2024-10-07,low,44.13
2024-09-11,low,44.99
2024-09-30,low,44.99
2024-11-09,low,44.99
2024-11-27,low,44.99
2025-01-15,low,44.99
2025-01-22,low,44.99
2025-02-26,low,44.99
2025-03-05,low,44.99
2025-01-21,low,45.85
2024-08-27,low,46.0
2024-11-20,low,46.4
2025-01-16,low,46.4
2024-07-09,low,46.62
2024-11-14,low,46.98
2024-07-07,low,47.12
2024-10-12,low,48.05
2024-09-03,low,48.08
2024-09-12,low,48.08
2024-10-17,low,48.54
2025-02-27,low,48.79
2024-12-02,low,49.0
2025-01-07,low,49.0
2024-10-20,low,49.02
2024-10-21,low,49.02
2024-11-30,low,49.79
2024-11-12,low,49.94
2024-11-13,low,49.94
2024-11-19,low,49.94
2024-11-26,low,49.94
2024-11-28,low,49.94
2024-09-22,low,49.99
2024-09-25,low,49.99
2024-10-06,low,49.99
2024-10-10,low,49.99
2024-11-08,low,49.99
2024-11-10,low,49.99
2024-11-17,low,49.99
2024-12-11,low,49.99
2025-03-02,low,49.99
2025-03-10,low,49.99
2024-09-10,low,51.01
2025-03-06,low,51.79
2024-07-24,low,52.44
2024-07-17,low,52.87
2024-08-07,low,53.11
2024-07-03,low,53.26
2025-01-20,low,53.4
2025-02-24,low,53.4
2025-03-04,low,53.4
2024-10-05,low,54.3
2024-10-19,low,54.3
2024-07-06,low,54.67
2024-10-03,low,54.86
2024-11-18,low,54.94
2024-07-23,low,55.31
2024-07-25,low,55.43
2024-10-13,low,55.81
2024-09-16,medium,55.99
2024-09-19,medium,55.99
2024-09-21,medium,55.99
2024-11-21,medium,55.99
2024-11-24,medium,55.99
2024-11-29,medium,55.99
2024-12-01,medium,55.99
2024-12-12,medium,55.99
2025-01-08,medium,55.99
2025-01-09,medium,55.99
2025-01-10,medium,55.99
2025-01-11,medium,55.99
2025-01-12,medium,55.99
2025-01-19,medium,55.99
2025-01-25,medium,55.99
2025-01-26,medium,55.99
2025-01-27,medium,55.99
2025-02-01,medium,55.99
2025-03-08,medium,55.99
2025-03-09,medium,55.99
2025-04-03,medium,55.99
2025-04-04,medium,55.99
2025-04-06,medium,55.99
2025-04-07,medium,55.99
2025-04-23,medium,55.99
2025-04-24,medium,55.99
2025-04-26,medium,55.99
2025-04-28,medium,55.99
2025-05-07,medium,55.99
2025-05-10,medium,55.99
2025-05-11,medium,55.99
2025-05-15,medium,55.99
2025-05-18,medium,55.99
2024-09-17,medium,56.3
2024-08-06,medium,56.31
2024-08-08,medium,56.31
2024-11-11,medium,56.99
2024-11-23,medium,57.4
2024-12-04,medium,57.4
2024-07-18,medium,58.24
2025-01-17,medium,58.82
2025-02-03,medium,58.82
2025-05-14,medium,58.82
2025-03-03,medium,59.0
2025-03-12,medium,60.0
2024-07-22,medium,60.46
2024-08-19,medium,60.52
2024-12-06,medium,60.52
2024-09-04,medium,61.41
2024-11-22,medium,61.52
2024-09-23,medium,61.64
2025-02-07,medium,61.78
2024-08-09,medium,61.84
2024-12-05,medium,62.21
2025-05-12,medium,62.59
2024-09-07,medium,62.74
2024-09-29,medium,62.77
2025-02-20,medium,62.79
2024-11-07,medium,62.94
2024-11-15,medium,62.94
2024-11-16,medium,62.94
2024-12-07,medium,62.94
2024-07-02,medium,62.98
2024-09-27,medium,63.12
2024-09-28,medium,63.34
2024-10-04,medium,63.34
2024-08-12,medium,63.57
2024-08-22,medium,63.59
2024-08-20,medium,63.98
2024-08-21,medium,63.98
2024-11-06,medium,63.99
2024-11-25,medium,63.99
2024-12-09,medium,63.99
2024-12-13,medium,63.99
2024-12-16,medium,63.99
2025-03-01,medium,63.99
2025-03-19,medium,63.99
2025-04-19,medium,63.99
2025-05-08,medium,63.99
2025-06-10,medium,63.99
2024-07-04,medium,64.09
2024-08-26,medium,64.15
2024-07-26,medium,64.26
2024-07-10,medium,64.47
2024-08-28,medium,64.98
2024-12-14,medium,64.98
2025-05-17,medium,64.98
2024-10-18,medium,65.0
2024-12-03,medium,65.28
2024-08-29,medium,65.98
2024-08-14,medium,66.64
2024-09-15,medium,66.64
2024-09-20,medium,66.64
2024-10-11,medium,66.64
2024-08-15,medium,66.84
2025-03-14,medium,67.0
2025-03-15,medium,67.0
2024-11-05,medium,67.19
2025-04-27,medium,67.19
2025-01-30,medium,69.12
2025-02-12,medium,69.4
2024-09-01,medium,69.52
2024-07-16,medium,70.44
2024-07-05,medium,70.56
2024-09-26,medium,70.7
2024-09-09,medium,70.79
2024-09-14,medium,70.84
2024-11-04,medium,70.94
2024-10-30,medium,70.98
2024-12-10,medium,71.04
2024-07-08,medium,71.41
2024-07-29,medium,71.84
2024-09-06,medium,72.38
2025-06-09,medium,72.45
2024-08-16,medium,72.86
2024-11-01,medium,72.89
2025-01-14,medium,72.95
2024-08-30,medium,73.31
2024-09-13,medium,73.69
2024-09-05,medium,73.88
2024-12-15,medium,73.98
2024-12-17,medium,73.98
2025-02-15,medium,73.98
2025-02-22,medium,73.98
2025-02-23,medium,73.98
2025-02-28,medium,73.98
2025-03-07,medium,73.98
2025-03-30,medium,73.98
2025-04-18,medium,73.98
2025-04-20,medium,73.98
2025-05-05,medium,73.98
2025-05-16,medium,73.98
2025-05-21,medium,73.98
2025-05-23,medium,73.98
2025-06-03,medium,73.98
2025-06-04,medium,73.98
2025-06-06,medium,73.98
2024-08-10,medium,74.28
2025-03-11,medium,74.4
2024-06-26,medium,74.58
2024-08-05,medium,75.73
2024-08-13,medium,75.81
2024-07-15,medium,77.11
2024-08-24,medium,77.56
2024-08-25,medium,78.34
2025-03-13,medium,78.81
2024-08-11,medium,78.87
2024-07-21,medium,80.17
2024-07-01,medium,80.18
2024-07-19,medium,80.19
2024-09-08,medium,80.9
2025-02-16,medium,81.0
2024-07-30,medium,81.84
2025-01-05,medium,82.4
2025-03-26,medium,82.94
2024-07-31,medium,83.64
2024-07-11,medium,83.97
2024-10-24,medium,84.0
2025-04-01,medium,84.8
2024-08-04,medium,84.99
2024-08-23,medium,84.99
2024-12-08,medium,84.99
2024-07-20,medium,85.0
2025-01-06,medium,85.4
2024-08-01,medium,85.47
2024-10-25,medium,85.47
2024-12-18,medium,86.53
2024-07-13,medium,86.54
2024-07-14,medium,86.69
2024-06-25,medium,86.79
2024-08-31,medium,86.84
2024-10-31,medium,87.98
2024-12-19,medium,88.79
2025-03-25,medium,88.82
2024-12-24,medium,90.0
2024-08-18,medium,90.47
2024-11-02,medium,91.0
2025-03-20,medium,91.12
2024-08-02,medium,92.23
2024-08-03,high,92.35
2024-10-29,high,92.78
2024-07-12,high,92.98
2024-10-26,high,93.74
2025-05-24,high,94.23
2024-06-18,high,94.48
2024-12-29,high,94.89
2024-12-30,high,94.89
2024-10-27,high,94.94
2024-10-28,high,94.94
2024-11-03,high,94.94
2024-12-20,high,94.94
2024-12-22,high,94.94
2024-12-26,high,94.94
2024-12-27,high,94.94
2024-12-28,high,94.94
2025-01-04,high,94.94
2025-02-21,high,95.4
2025-02-09,high,96.99
2025-02-10,high,96.99
2025-04-11,high,96.99
2025-04-13,high,96.99
2025-04-14,high,96.99
2025-04-15,high,96.99
2025-04-16,high,96.99
2025-04-17,high,96.99
2025-05-19,high,96.99
2025-05-22,high,96.99
2025-05-28,high,96.99
2025-06-08,high,96.99
2025-06-13,high,96.99
2025-03-17,high,97.19
2025-05-03,high,98.59
2025-02-14,high,98.62
2025-02-13,high,98.79
2025-02-17,high,99.4
2025-03-18,high,100.59
2024-08-17,high,102.14
