day,group,price
2024-10-15,low,29.99
2024-10-23,low,29.99
2024-10-16,low,30.0
2024-10-01,low,30.99
2024-10-09,low,31.0
2024-10-22,low,31.0
2024-10-21,low,35.72
2024-09-16,low,39.99
2024-09-18,low,40.79
2024-09-10,low,42.59
2024-09-27,low,42.59
2024-09-24,low,43.99
2024-09-03,low,44.99
2024-09-26,low,44.99
2024-09-09,low,46.43
2024-09-30,low,47.93
2024-08-09,low,47.99
2024-09-17,low,47.99
2024-07-23,low,52.99
2024-10-11,low,53.17
2024-09-23,low,54.29
2024-09-11,low,55.99
2024-08-07,low,56.99
2024-08-21,low,60.57
2024-10-18,low,60.99
2024-10-10,low,62.99
2024-09-06,low,63.99
2024-08-08,low,64.98
2024-10-08,low,64.98
2024-09-25,low,65.97
2024-08-20,low,65.98
2024-08-23,low,65.98
2024-08-26,low,65.98
2024-08-27,low,65.98
2024-08-28,low,65.98
2024-08-30,low,65.98
2024-09-21,low,66.97
2024-10-14,medium,66.98
2024-07-15,medium,67.42
2024-09-12,medium,67.52
2024-10-07,medium,67.73
2024-10-04,medium,68.04
2024-10-30,medium,70.56
2024-07-22,medium,70.98
2024-09-05,medium,71.98
2024-07-16,medium,73.89
2024-08-29,medium,73.91
2024-09-28,medium,75.04
2024-09-29,medium,75.18
2024-07-13,medium,75.65
2024-07-14,medium,75.65
2024-09-19,medium,75.65
2024-09-07,medium,75.69
2024-08-24,medium,75.82
2024-09-04,medium,76.0
2024-08-04,medium,76.5
2024-08-22,medium,76.5
2025-05-16,medium,76.53
2024-08-16,medium,76.59
2024-08-17,medium,76.59
2024-08-12,medium,76.75
2024-08-25,medium,76.98
2024-09-01,medium,77.29
2024-08-06,medium,79.64
2024-08-11,medium,79.64
2024-08-13,medium,79.64
2024-08-15,medium,79.64
2024-08-18,medium,79.64
2024-09-08,medium,79.64
2024-09-15,medium,79.64
2024-09-02,medium,80.07
2024-08-19,medium,80.7
2024-10-02,medium,81.0
2024-10-05,medium,81.23
2024-09-20,medium,81.67
2024-07-09,medium,81.78
2024-10-03,medium,81.99
2024-07-08,medium,82.08
2024-08-14,medium,82.51
2024-10-24,medium,83.32
2024-06-17,medium,83.7
2024-07-02,medium,84.46
2024-07-01,medium,84.74
2024-08-05,medium,85.47
2024-10-06,medium,85.9
2024-08-31,medium,86.05
2024-06-25,medium,86.79
2024-10-17,medium,87.63
2024-11-09,medium,89.09
2024-07-21,medium,89.39
2024-07-17,medium,91.94
2024-07-18,medium,92.39
2024-07-24,medium,92.39
2024-07-30,medium,92.39
2024-10-25,medium,92.39
2024-07-25,medium,92.64
2024-07-28,medium,92.64
2024-07-06,medium,92.77
2024-07-03,medium,94.25
2024-07-07,medium,94.42
2024-08-10,medium,96.44
2024-08-01,medium,96.93
2024-07-29,medium,97.59
2024-06-26,medium,98.33
2024-07-04,medium,98.34
2024-07-10,medium,99.96
2024-10-27,medium,100.69
2025-06-01,medium,102.79
2024-08-03,medium,102.91
2024-07-27,medium,103.04
2024-10-26,medium,104.39
2024-10-31,medium,105.83
2024-07-11,medium,106.48
2024-07-20,high,107.79
2024-07-19,high,107.99
2024-06-22,high,108.7
2024-07-26,high,108.99
2024-07-31,high,109.5
2025-01-24,high,112.14
2024-06-24,high,114.29
2024-07-12,high,114.61
2025-05-14,high,116.48
2025-05-19,high,117.79
2025-06-03,high,117.79
2025-02-01,high,119.0
2024-08-02,high,122.08
2024-07-05,high,122.72
2024-10-28,high,122.85
2024-10-29,high,126.0
2025-05-24,high,128.06
2024-11-26,high,130.6
2025-05-13,high,131.0
2024-06-27,high,133.22
2025-05-15,high,133.79
2025-05-20,high,133.79
2025-05-29,high,134.38
2025-05-31,high,134.44
2024-06-30,high,138.27
2024-06-29,high,138.69
2024-06-16,high,139.0
2024-06-18,high,140.15
2024-09-13,high,140.69
2024-06-23,high,142.08
2024-06-15,high,151.41
2024-06-19,high,155.97
2024-06-28,high,157.0
2025-03-17,high,158.3
2024-06-20,high,173.08
2024-06-21,high,196.41
2024-06-14,high,224.91
