day,group,price
2024-10-01,low,29.99
2024-10-10,low,29.99
2024-10-12,low,29.99
2024-10-13,low,29.99
2024-10-15,low,29.99
2024-10-17,low,29.99
2024-10-18,low,29.99
2024-10-14,low,32.99
2024-10-19,low,35.99
2024-10-20,low,35.99
2024-10-30,low,35.99
2024-10-06,low,38.99
2024-10-08,low,38.99
2024-09-15,low,39.99
2024-09-19,low,39.99
2024-09-16,low,44.47
2024-09-30,low,44.59
2024-09-17,low,44.63
2024-09-10,low,44.99
2024-09-21,low,44.99
2024-09-23,low,44.99
2024-09-24,low,44.99
2024-09-26,low,44.99
2024-10-03,low,44.99
2024-06-12,low,46.48
2024-09-28,low,46.99
2024-11-12,low,48.58
2025-01-11,low,49.04
2025-01-13,low,49.04
2025-01-20,low,49.04
2024-10-22,low,49.7
2024-09-14,low,50.61
2024-06-05,low,51.98
2024-09-03,low,51.99
2024-10-21,low,51.99
2024-11-09,low,51.99
2024-11-20,low,51.99
2024-11-24,low,51.99
2024-11-27,low,51.99
2024-11-30,low,51.99
2024-12-01,low,51.99
2024-12-02,low,51.99
2024-12-03,low,51.99
2024-12-04,low,51.99
2024-12-11,low,51.99
2025-01-10,low,51.99
2025-01-19,low,51.99
2025-01-25,low,51.99
2025-01-26,low,51.99
2025-01-27,low,51.99
2025-02-05,low,51.99
2025-02-26,low,51.99
2025-04-08,low,51.99
2024-11-23,low,52.91
2024-12-05,low,52.91
2024-06-26,low,53.98
2024-11-26,low,54.29
2024-08-17,low,54.42
2024-09-07,low,54.99
2024-09-02,low,55.45
2024-07-20,low,55.96
2024-08-20,low,55.96
2024-07-18,low,55.99
2024-07-16,low,56.99
2024-11-10,low,56.99
2024-11-25,low,56.99
2024-12-07,low,56.99
2025-05-05,low,56.99
2024-08-06,medium,58.44
2024-08-07,medium,58.44
2024-08-12,medium,58.44
2024-08-14,medium,58.44
2024-08-26,medium,58.44
2024-08-27,medium,58.44
2024-08-28,medium,58.44
2024-09-01,medium,58.44
2024-09-08,medium,58.44
2024-09-09,medium,58.44
2024-09-22,medium,58.44
2024-06-24,medium,58.99
2025-02-10,medium,59.04
2024-12-06,medium,59.57
2025-01-24,medium,59.57
2024-06-22,medium,60.94
2024-11-13,medium,61.07
2024-11-16,medium,61.11
2024-11-22,medium,61.11
2024-12-10,medium,61.11
2025-02-25,medium,61.11
2024-08-08,medium,61.55
2024-07-09,medium,62.17
2024-11-17,medium,62.66
2024-11-28,medium,62.66
2024-06-18,medium,62.97
2024-06-25,medium,62.99
2024-06-19,medium,63.25
2024-09-27,medium,63.58
2024-07-11,medium,63.99
2024-12-12,medium,63.99
2025-04-02,medium,63.99
2025-04-03,medium,63.99
2025-04-04,medium,63.99
2025-04-06,medium,63.99
2025-04-09,medium,63.99
2025-05-10,medium,63.99
2024-06-15,medium,65.0
2024-11-15,medium,65.0
2024-07-24,medium,65.98
2024-07-25,medium,65.98
2024-07-27,medium,65.98
2024-07-29,medium,65.98
2024-07-30,medium,65.98
2024-07-31,medium,65.98
2024-08-01,medium,65.98
2024-08-10,medium,65.98
2024-08-15,medium,65.98
2024-08-18,medium,65.98
2024-07-23,medium,66.19
2024-11-18,medium,66.25
2024-07-08,medium,66.51
2025-03-22,medium,67.0
2024-11-11,medium,67.04
2024-08-05,medium,67.98
2024-09-05,medium,67.98
2024-08-04,medium,68.84
2024-08-11,medium,68.84
2024-08-24,medium,68.84
2024-08-25,medium,68.84
2024-08-29,medium,68.84
2024-06-17,medium,68.98
2024-07-15,medium,68.98
2024-08-13,medium,68.98
2024-10-09,medium,68.98
2024-08-19,medium,69.84
2024-08-21,medium,69.98
2024-08-22,medium,69.98
2024-11-29,medium,70.0
2024-08-23,medium,70.15
2024-10-05,medium,70.56
2024-07-21,medium,70.98
2025-02-04,medium,71.76
2025-02-07,medium,71.76
2024-07-13,medium,71.98
2024-08-31,medium,71.98
2024-09-13,medium,72.98
2024-10-11,medium,73.8
2024-07-22,medium,73.98
2024-07-28,medium,73.98
2025-02-01,medium,73.98
2025-05-08,medium,73.98
2025-05-14,medium,73.98
2025-05-15,medium,73.98
2025-05-17,medium,73.98
2025-03-13,medium,74.0
2024-10-23,medium,74.75
2025-05-09,medium,74.98
2024-11-07,medium,75.4
2024-11-19,medium,75.4
2024-06-29,medium,75.98
2024-07-03,medium,75.98
2024-09-12,medium,75.98
2024-09-11,medium,76.1
2024-09-20,medium,76.13
2024-08-03,medium,76.67
2024-06-11,medium,78.87
2024-06-16,medium,79.26
2024-11-08,medium,79.47
2025-03-25,medium,79.47
2024-07-10,medium,79.63
2024-08-09,medium,79.87
2024-12-09,medium,79.89
2024-07-02,medium,79.95
2024-06-08,medium,80.0
2024-10-04,medium,81.04
2024-10-16,medium,81.04
2025-02-21,medium,81.04
2024-07-07,medium,81.14
2024-07-17,medium,81.42
2024-09-25,medium,81.47
2024-06-10,medium,81.64
2025-04-26,medium,81.65
2024-10-24,medium,81.89
2024-06-04,medium,82.3
2024-10-07,medium,82.47
2024-11-04,medium,82.69
2024-12-17,medium,82.69
2024-08-16,medium,82.9
2024-10-02,medium,82.9
2024-12-16,medium,83.13
2025-01-04,medium,83.13
2025-03-10,medium,83.13
2024-07-06,medium,83.99
2024-11-06,medium,83.99
2024-12-08,medium,83.99
2025-02-06,medium,83.99
